"case_number","case_name","passage","case_question_id","question","option_a","option_b","option_c","option_d","correct_answer","explanation"

"CQ-25-04","Imran Pratapgadhi v. State of Gujarat (2025 INSC 410)","NULL","CQ-25-04-01","What was the principal constitutional issue before the Supreme Court in Imran Pratapgadhi v. State of Gujarat (2025)?","Whether social media expression by legislators enjoys absolute immunity under Article 194.","Whether registration of FIR without preliminary inquiry for speech offences violates Article 19(1)(a).","Whether the President can suspend legislative privileges under Article 356.","Whether criticism of government policy amounts to sedition under Article 19(2).","B","The Court held that speech-related offences punishable up to 7 years require a preliminary inquiry under Section 173(3) BNSS; otherwise, registration of FIR violates the right to free expression and due process under Articles 19(1)(a) and 21."
"CQ-25-04","Imran Pratapgadhi v. State of Gujarat (2025 INSC 410)","NULL","CQ-25-04-02","Which statutory provision did the Court interpret to mandate a preliminary inquiry before FIR registration for certain offences?","Section 156(1) CrPC","Section 173(3) BNSS, 2023","Section 438 CrPC","Section 41A BNSS, 2023","B","Section 173(3) BNSS codifies the Lalita Kumari principle, requiring preliminary inquiry for offences punishable between three and seven years, especially where allegations relate to free speech or artistic expression."
"CQ-25-04","Imran Pratapgadhi v. State of Gujarat (2025 INSC 410)","NULL","CQ-25-04-03","The Supreme Court linked Section 173(3) BNSS with which earlier landmark precedent?","Maneka Gandhi v. Union of India","Lalita Kumari v. Government of Uttar Pradesh","Kedar Nath Singh v. State of Bihar","R. Rajagopal v. State of Tamil Nadu","B","The Court applied the Lalita Kumari framework, where preliminary inquiry was judicially recognized to prevent misuse of criminal law and harassment through false FIRs."
"CQ-25-04","Imran Pratapgadhi v. State of Gujarat (2025 INSC 410)","NULL","CQ-25-04-04","What was the Court’s test for determining whether speech constitutes hate speech or protected expression?","The Overbroad Speech Test","The Reasonable Listener Test","The Clear and Present Danger Test","The Direct Nexus Test","B","The Court used the 'Reasonable Listener Test,' holding that speech must be assessed from the perspective of a rational, reasonable citizen, not through the lens of oversensitive or partisan reactions."
"CQ-25-04","Imran Pratapgadhi v. State of Gujarat (2025 INSC 410)","NULL","CQ-25-04-05","According to the judgment, what is the purpose of requiring a preliminary inquiry under Section 173(3) BNSS for speech offences?","To ensure political oversight of police investigations.","To verify the authenticity of allegations and prevent abuse of process.","To speed up FIR registration in all cases.","To permit preventive detention before investigation.","B","The preliminary inquiry ensures that offences are not registered mechanically and protects citizens from politically motivated or frivolous prosecutions, preserving procedural fairness under Article 21."
"CQ-25-04","Imran Pratapgadhi v. State of Gujarat (2025 INSC 410)","NULL","CQ-25-04-06","How did the Court interpret the scope of legislative privilege under Article 194 in this case?","It extends to all public statements by legislators, including social media posts.","It applies only to statements made within legislative proceedings.","It prevents all criminal liability of legislators for any speech.","It includes executive immunity from investigation.","B","The Court clarified that Article 194 protects only legislative activity within official proceedings, not public or online expression; however, legislators retain general free speech rights under Article 19(1)(a)."
"CQ-25-04","Imran Pratapgadhi v. State of Gujarat (2025 INSC 410)","NULL","CQ-25-04-07","Which doctrinal principle was emphasized to justify judicial interference in politically motivated FIRs?","Doctrine of Proportionality","Doctrine of Positive Obligation","Doctrine of Procedural Due Process","Doctrine of Colourable Legislation","C","The Court invoked procedural due process, holding that the State must ensure fairness and transparency in registration of FIRs, especially for offences affecting freedom of expression."
"CQ-25-04","Imran Pratapgadhi v. State of Gujarat (2025 INSC 410)","NULL","CQ-25-04-08","What training-related directive did the Supreme Court issue to ensure future compliance?","Police must undergo annual psychological tests.","State Governments must train police officers on constitutional duties related to free speech.","Police must obtain judicial permission before registering FIRs.","Media houses must train journalists on Article 19(2).","B","The Court directed States to train police officials in the constitutional limits of free speech enforcement to prevent misuse of law against dissenters or artists."
"CQ-25-04","Imran Pratapgadhi v. State of Gujarat (2025 INSC 410)","NULL","CQ-25-04-09","Which of the following correctly describes the ratio decidendi of Imran Pratapgadhi v. State of Gujarat (2025)?","Social media criticism of the government is immune under Article 194.","Every artistic work must be pre-approved by a review committee.","FIRs for speech-related offences punishable up to 7 years require a preliminary inquiry under Section 173(3) BNSS.","Hate speech must always be prosecuted regardless of intent.","C","The ratio establishes that before an FIR is filed for speech offences, a preliminary inquiry must confirm the existence of prima facie evidence, ensuring protection of free expression under Articles 19(1)(a) and 21."
"CQ-25-04","Imran Pratapgadhi v. State of Gujarat (2025 INSC 410)","NULL","CQ-25-04-10","What is the broader constitutional significance of this judgment?","It limits the power of legislatures to debate contentious issues.","It strengthens procedural safeguards against criminalization of free speech.","It removes the need for judicial review in speech offences.","It allows preventive FIRs for potential offences.","B","The judgment reinforces procedural due process and constitutional safeguards under Articles 19 and 21, ensuring that dissent, satire, or artistic expression are not criminalized without factual and procedural justification."
